PID,PROLIFIC_PID,title,organisation,description,years,experience,division,ONET,ONET_13_text,ONET_14_text,ONET_15_text,TaskRank_1,TaskRank_2,TaskRank_3,TaskRank_4,TaskRank_5,TaskRank_6,TaskRank_7,TaskRank_8,TaskRank_9,TaskRank_10,TaskRank_11,TaskRank_12,TaskRank_13,TaskRank_14,TaskRank_15,NumberHours_1,NumberHours_2,NumberHours_3,NumberHours_4,NumberHours_5,NumberHours_6,NumberHours_7,NumberHours_8,NumberHours_9,NumberHours_10,NumberHours_11,NumberHours_12,NumberHours_13,NumberHours_14,NumberHours_15,TaskPhysical_1,TaskPhysical_2,TaskPhysical_3,TaskPhysical_4,TaskPhysical_5,TaskPhysical_6,TaskPhysical_7,TaskPhysical_8,TaskPhysical_9,TaskPhysical_10,TaskPhysical_11,TaskPhysical_12,TaskPhysical_13,TaskPhysical_14,TaskPhysical_15,TaskSocial_1,TaskSocial_2,TaskSocial_3,TaskSocial_4,TaskSocial_5,TaskSocial_6,TaskSocial_7,TaskSocial_8,TaskSocial_9,TaskSocial_10,TaskSocial_11,TaskSocial_12,TaskSocial_13,TaskSocial_14,TaskSocial_15,pilot1_1,pilot1_2,pilot1_3,pilot2,TaskOpen_1,RobotSelect_1,RobotTune_1_1,RobotTune_1_2,RobotTune_1_3,RobotTune_1_4,RobotTune_1_5,RobotTune_1_6,RobotTune_1_7,RobotTune_1_8,RobotTune_1_9,RobotTune_1_10,RobotTune_1_11,RobotTune_1_12,RobotTune_1_13,RobotTune_1_14,RobotTune_1_15,RobotTune_1_16,RobotTune_1_17,TaskOpen_2,RobotSelect_2,RobotTune_2_1,RobotTune_2_2,RobotTune_2_3,RobotTune_2_4,RobotTune_2_5,RobotTune_2_6,RobotTune_2_7,RobotTune_2_8,RobotTune_2_9,RobotTune_2_10,RobotTune_2_11,RobotTune_2_12,RobotTune_2_13,RobotTune_2_14,RobotTune_2_15,RobotTune_2_16,RobotTune_2_17,TaskOpen_3,RobotSelect_3,RobotTune_3_1,RobotTune_3_2,RobotTune_3_3,RobotTune_3_4,RobotTune_3_5,RobotTune_3_6,RobotTune_3_7,RobotTune_3_8,RobotTune_3_9,RobotTune_3_10,RobotTune_3_11,RobotTune_3_12,RobotTune_3_13,RobotTune_3_14,RobotTune_3_15,RobotTune_3_16,RobotTune_3_17,TaskOpen_4,RobotSelect_4,RobotTune_4_1,RobotTune_4_2,RobotTune_4_3,RobotTune_4_4,RobotTune_4_5,RobotTune_4_6,RobotTune_4_7,RobotTune_4_8,RobotTune_4_9,RobotTune_4_10,RobotTune_4_11,RobotTune_4_12,RobotTune_4_13,RobotTune_4_14,RobotTune_4_15,RobotTune_4_16,RobotTune_4_17,TaskOpen_5,RobotSelect_5,RobotTune_5_1,RobotTune_5_2,RobotTune_5_3,RobotTune_5_4,RobotTune_5_5,RobotTune_5_6,RobotTune_5_7,RobotTune_5_8,RobotTune_5_9,RobotTune_5_10,RobotTune_5_11,RobotTune_5_12,RobotTune_5_13,RobotTune_5_14,RobotTune_5_15,RobotTune_5_16,RobotTune_5_17,TaskOpen_6,RobotSelect_6,RobotTune_6_1,RobotTune_6_2,RobotTune_6_3,RobotTune_6_4,RobotTune_6_5,RobotTune_6_6,RobotTune_6_7,RobotTune_6_8,RobotTune_6_9,RobotTune_6_10,RobotTune_6_11,RobotTune_6_12,RobotTune_6_13,RobotTune_6_14,RobotTune_6_15,RobotTune_6_16,RobotTune_6_17,TaskOpen_7,RobotSelect_7,RobotTune_7_1,RobotTune_7_2,RobotTune_7_3,RobotTune_7_4,RobotTune_7_5,RobotTune_7_6,RobotTune_7_7,RobotTune_7_8,RobotTune_7_9,RobotTune_7_10,RobotTune_7_11,RobotTune_7_12,RobotTune_7_13,RobotTune_7_14,RobotTune_7_15,RobotTune_7_16,RobotTune_7_17,TaskOpen_8,RobotSelect_8,RobotTune_8_1,RobotTune_8_2,RobotTune_8_3,RobotTune_8_4,RobotTune_8_5,RobotTune_8_6,RobotTune_8_7,RobotTune_8_8,RobotTune_8_9,RobotTune_8_10,RobotTune_8_11,RobotTune_8_12,RobotTune_8_13,RobotTune_8_14,RobotTune_8_15,RobotTune_8_16,RobotTune_8_17,TaskOpen_9,RobotSelect_9,RobotTune_9_1,RobotTune_9_2,RobotTune_9_3,RobotTune_9_4,RobotTune_9_5,RobotTune_9_6,RobotTune_9_7,RobotTune_9_8,RobotTune_9_9,RobotTune_9_10,RobotTune_9_11,RobotTune_9_12,RobotTune_9_13,RobotTune_9_14,RobotTune_9_15,RobotTune_9_16,RobotTune_9_17,TaskOpen_10,RobotSelect_10,RobotTune_10_1,RobotTune_10_2,RobotTune_10_3,RobotTune_10_4,RobotTune_10_5,RobotTune_10_6,RobotTune_10_7,RobotTune_10_8,RobotTune_10_9,RobotTune_10_10,RobotTune_10_11,RobotTune_10_12,RobotTune_10_13,RobotTune_10_14,RobotTune_10_15,RobotTune_10_16,RobotTune_10_17,TaskOpen_11,RobotSelect_11,RobotTune_11_1,RobotTune_11_2,RobotTune_11_3,RobotTune_11_4,RobotTune_11_5,RobotTune_11_6,RobotTune_11_7,RobotTune_11_8,RobotTune_11_9,RobotTune_11_10,RobotTune_11_11,RobotTune_11_12,RobotTune_11_13,RobotTune_11_14,RobotTune_11_15,RobotTune_11_16,RobotTune_11_17,TaskOpen_12,RobotSelect_12,RobotTune_12_1,RobotTune_12_2,RobotTune_12_3,RobotTune_12_4,RobotTune_12_5,RobotTune_12_6,RobotTune_12_7,RobotTune_12_8,RobotTune_12_9,RobotTune_12_10,RobotTune_12_11,RobotTune_12_12,RobotTune_12_13,RobotTune_12_14,RobotTune_12_15,RobotTune_12_16,RobotTune_12_17,TaskOpen_13,RobotSelect_13,RobotTune_13_1,RobotTune_13_2,RobotTune_13_3,RobotTune_13_4,RobotTune_13_5,RobotTune_13_6,RobotTune_13_7,RobotTune_13_8,RobotTune_13_9,RobotTune_13_10,RobotTune_13_11,RobotTune_13_12,RobotTune_13_13,RobotTune_13_14,RobotTune_13_15,RobotTune_13_16,RobotTune_13_17,TaskOpen_14,RobotSelect_14,RobotTune_14_1,RobotTune_14_2,RobotTune_14_3,RobotTune_14_4,RobotTune_14_5,RobotTune_14_6,RobotTune_14_7,RobotTune_14_8,RobotTune_14_9,RobotTune_14_10,RobotTune_14_11,RobotTune_14_12,RobotTune_14_13,RobotTune_14_14,RobotTune_14_15,RobotTune_14_16,RobotTune_14_17,TaskOpen_15,RobotSelect_15,RobotTune_15_1,RobotTune_15_2,RobotTune_15_3,RobotTune_15_4,RobotTune_15_5,RobotTune_15_6,RobotTune_15_7,RobotTune_15_8,RobotTune_15_9,RobotTune_15_10,RobotTune_15_11,RobotTune_15_12,RobotTune_15_13,RobotTune_15_14,RobotTune_15_15,RobotTune_15_16,RobotTune_15_17,pilot3_1,pilot3_2,pilot3_3,pilot4,positive_before,positive_after,worried_before,worried_after,purpose,familiarisation_1,familiarisation_2,familiarisation_3,familiarisation_4,familiarisation_5,familiarisation_6
R_3dSXGOKIvVEZw3w,668e8d211e3fa4b1db322490,Employee Relations Manager,Amazon,"As an Employee Relations Manager, I evaluate company data to identify trends and defects in the employee experience.  I assist leadership with understanding these trends and developing strategies to improve the employee experience.  I also ensure that leaders are implementing changes that comply with legislative requirements.",2,14,5,"2,3,5,6,9",,,,,3,1,,2,4,,,5,,,,,,,,7,10,,10,10,,,15,,,,,,,,0,0,,0,0,,,0,,,,,,,,80,50,,80,21,,,100,,,,,,,100,100,100,No feedback at the moment.,,,,,,,,,,,,,,,,,,,,"I function as a guardrail to ensure that business decisions are complying with legislative requirements and have minimal impact to the employee experience.  For example, I review all proposed changes and communications that could significant impact employees.","1,5,6,8,15",25,,,,20,20,,10,,,,,,,25,,,I review metrics across different dashboards to identify themes and trends that might describe employee sentiment regarding a range of topics,"2,3,5,11,13",,15,10,,20,,,,,,15,,40,,,,,,,,,,,,,,,,,,,,,,,,I have to exercise a high degree of judgment to assess ambiguous situations and identify the appropriate path forward to best support a fast-moving business,"1,5,7,9,15",20,,,,15,,25,,15,,,,,,25,,,"As time is limited and demands are frequent every day, I must plan my day in a way to ensure that I have time to move my projects forward while allowing for flexibility to respond to ad hoc requests.","2,3,4,7,8",,15,15,20,,,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I regularly advise stakeholders and partners of the appropriate path forward,"2,5,7,13,17",,20,,,20,,15,,,,,,15,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,None really,100,100,100,100,I thought it was simply asking me to comment on the ways my memory is used in my line of work.,1,1,1,1,1,1
R_2w6qvfleEMdsFVL,6154d028075e05c122af454e,Estimating Manger ,Paramount Group ,I manage the estimating department within my company =,0,10,6,"3,5,6,8,9",,,,,,4,,1,2,,5,3,,,,,,,,,10,,10,10,,10,10,,,,,,,,,0,,0,0,,0,0,,,,,,,,,0,,68,74,,0,100,,,,,,,100,100,100,no issue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have to work out prices ,"2,3,4,5,10",,20,10,10,50,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,I have to make decisions regarding what order to do work in ,"1,2,6,7,17",10,30,,,,20,20,,,,,,,,,,20,I have to plan what tenders need to be sent out in each day to meet deadlines,"2,4,8,9,13",,20,,30,,,,20,20,,,,10,,,,,,,,,,,,,,,,,,,,,,,,I have to input data into the computer ,"1,2,4,7,9",20,20,,20,,,20,,20,,,,,,,,,I have to speak with sales people to make sure we are on the same page ,"2,3,5,6,7",,40,10,,30,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,No improvement ,100,100,14,13,Building a robot to do my job,1,1,1,1,1,1
R_2MWFJbwfkRvFA1X,60cd16e63d3924958e8d3d43,healthcare assistant,HSE,i assist patients with there activities of daily living,15,15,6,"5,6,8,9,12",,,,,,,,3,2,,5,1,,,4,,,,,,,,10,5,,5,15,,,10,,,,,,,,100,100,,89,100,,,100,,,,,,,,100,100,,85,100,,,100,,,,100,100,100,everything went well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i make decisions with other team members in relation to patient care,"1,3,7,14,15",20,,20,,,,20,,,,,,,20,20,,,i plan day to day tasks in relation to patient care,"2,5,10,15,17",,20,,,20,,,,,20,,,,,20,,20,,,,,,,,,,,,,,,,,,,,i use computer to document information about patient care,"1,5,8,13,15",20,,,,20,,,20,,,,,20,,20,,,i make decisions with other team members in relation to patient care,"1,5,8,15,17",20,,,,20,,,20,,,,,,,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uploading information on patients care files using computer,"2,8,10,11,17",,20,,,,,,20,,20,20,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,everything went well,100,47,42,45,what memory your using,1,1,1,1,1,1
R_5jvbfCvNOBtpqtf,5e2f8227b9a45e53a411f373,Social Worker,Hamilton Hospital,I provide counselling and referrals to hospital patients. ,7,9,6,"1,5,9,10,12",,,,3,,,,4,,,,2,1,,5,,,,7,,,,7,,,,7,7,,7,,,,12,,,,10,,,,12,13,,5,,,,100,,,,63,,,,100,99,,20,,,,100,100,100,Not applicable,Trying to pick up verbal and non verbal cues to have a full understanding of the situation.,"5,9,13,15,17",,,,,10,,,,20,,,,50,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing guidance or making referrals for a client.,"2,5,8,14,17",,10,,,10,,,50,,,,,,20,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communicating effectively in a way that the individual will best receive the information.,"1,5,9,13,17",10,,,,10,,,,10,,,,10,,,,60,"In order to assist clients I have to develop professional relationships with respect, kindness but also be able to push back.","1,10,11,13,17",10,,,,,,,,,10,20,,10,,,,50,,,,,,,,,,,,,,,,,,,,Ensuring all important information is documented so that reason for contact and outcome are transparent. ,"2,3,4,13,17",,30,10,10,,,,,,,,,10,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,50,51,50,50,Skills necessary for building a robot. ,2,1,1,1,1,1
R_8n1NWVyIybRV7CL,6483648c280beabafcb3797e,Teacher,State funded school,"I work for a large multisite organisation. I plan, deliver and assess alevel content to students aged 16-19.",17,26,6,"2,6,9,10,11",,,,,5,,,,3,,,2,4,1,,,,,,10,,,,5,,,15,15,25,,,,,,8,,,,9,,,19,20,20,,,,,,80,,,,29,,,100,100,100,,,,,90,90,90,,,,,,,,,,,,,,,,,,,,,Question and answer session,"1,2,3,8,14",5,40,5,,,,,20,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesson planning in order to pass on content and build skills  ,"1,3,4,7,8",20,,15,5,,,10,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Using simpliistic language to break down diffcult concepts. Regular checking that the method of communication is effective in getting accross the information,"1,10,11,15,17",20,,,,,,,,,25,25,,,,10,,20,Get to know the learners and build trust. Share my own experiences and stories with them,"9,10,11,15,17",,,,,,,,,5,20,30,,,,15,,30,The passing on of information in a format that they can understand by showing thir understanding  ,"2,5,7,9,17",,40,,,10,,5,,5,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,,70,70,0,0,n/A,1,1,1,1,1,2
R_8WJBVEBCXOo0rWH,6061ef11da123a1d9e55c6c8,teacher,school,"primary school teacher, state school",2,15,6,"2,4,6,9,11",,,,,5,,3,,2,,,1,,4,,,,,,2,,15,,10,,,20,,1,,,,,,25,,33,,17,,,66,,25,,,,,,45,,58,,59,,,84,,63,,,,,55,60,50,,,,,,,,,,,,,,,,,,,,,"When markin work, judging whether the child has understood new concepts or skills","1,2,3,5,17",5,35,20,,30,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,Planning engaging and well thought out tasks and activities for lessons,"8,11,14,15,17",,,,,,,,60,,,10,,,10,10,,10,,,,,,,,,,,,,,,,,,,,Preparing lessons and activities for children; preparing the work over the next year and developing a curriculum,"5,7,8,9,17",,,,,10,,10,65,10,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teaching children knowledge and allowing them to develop skills; relaying information to colleagues to allow them to perform their own duties,"2,3,7,8,11",,10,20,,,,20,40,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,Supporting colleagues who work alongside me; disseminating information to other staff,"2,3,5,8,17",,5,10,,10,,,15,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,66,77,,32,31,52,48,How AI may be used in the future to accomplish certain tasks,1,1,2,1,1,1
R_2hB0xVsXrHTHLNG,6658bcdeee0559730099503b,Teaching Assistant,Education,"Supporting teachers by helping with the classroom management, helping SEN kids as well, teaching phonics, providing individual help to students, and preparing materials for lessons",0,2,6,"1,5,6,10,12",,,,4,,,,1,3,,,,2,,5,,,,3,,,,4,6,,,,8,,4.5,,,,73,,,,69,100,,,,100,,72,,,,100,,,,100,71,,,,100,,47,,,,79,100,52,-,"Researching educational resources, gathering details about student's needs, and checking for updates on lesson plans or school policies. This ensures you have the necessary knowledge to support teachers and students effectively. ","2,3,5,7,11",,15,20,,20,,25,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Addressing student issues, safeguarding, adapting lesson plans to meet individual needs, and finding solutions to classroom challenges. ","5,8,10,12,15",,,,,25,,,25,,20,,10,,,20,,,"Creating schedules for classroom activities, preparing lesson materials in advance and coordinating with teachers to ensure a smooth flow of daily lessons and tasks. ","2,6,9,11,15",,20,,,,20,,,15,,25,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Working with teachers and communicating with parents to support student's success. ,"2,5,11,12,14",,15,,,20,,,,,,25,10,,30,,,,,,,,,,,,,,,,,,,,,,,"Keeping track of student progress, maintaing records of assignments and assessments, and ensuring that classroom materials and resources are used efficiently and effectively. ","3,4,8,11,14",,,15,15,,,,25,,,25,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,39,72,-,49,32,0,0,I would have thought it was about assessing different cognitive and self-regulation skills. ,1,1,1,1,1,1
R_2H6svrFnGXItlrr,5e8f8ebc09b58f28c329da6f,Metro Guard,SWR,"I work as a Train Guard for SWR, in the Transport industry, it is ensuring the safety of passengers, operating the doors and giving information.",2,15,6,"1,5,7,8,9",,,,5,,,,1,,4,3,2,,,,,,,2,,,,25,,15,5,20,,,,,,,3,,,,28,,100,80,60,,,,,,,73,,,,100,,100,21,100,,,,,,,100,100,85,Nothing to add,"When I need to relay information to my passengers on the train then I use the finding out information to give them updates about what is going on and how long the delay be, alternative travel options.","5,7,8,11,17",,,,,28,,20,15,,,12,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This can be when there is something unexpected happening when I am working a train, for example if I have a wheelchair user wishing to board at an unstaffed station then I need to decide quickly where to put them, to re-locate myself and deploy the ramp to avoid delaying the train.","3,5,8,13,14",,,20,,15,,,20,,,,,15,30,,,,,,,,,,,,,,,,,,,,,,,"This is with the keys I use to operate the doors, I would use them to carry out the work on a day to day basis.","3,11,12,14,16",,,25,,,,,,,,15,45,,5,,10,,To use the company mobile phone to find out information and also to submit electronic reports and to be in touch with others to gain and pass on information.,"1,3,5,7,17",10,,15,,25,,10,,,,,,,,,,40,For me this would be mainly in person communication or using the PA handset on a train or by making phone calls with other railway staff to tell them information.,"3,5,7,8,14",,,20,,35,,20,15,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,80,90,,30,30,75,80,To see how people can relate different mental and cognitive abilities to certain aspects of their job role,1,1,1,1,1,1
R_8Tt7RocRliaFyl4,5cf5497696cde00015bc3ce7,Sessional Worker,Changing Lives,"I work in the charity sector, specifically the homeless sector. My job role is to work across various homeless accommodations supporting client needs.",2,2,6,"1,5,9,10,12",,,,4,,,,2,,,,3,1,,5,,,,1,,,,5,,,,8,8,,1,,,,17,,,,19,,,,25,25,,20,,,,84,,,,88,,,,86,90,,24,,,,93,90,50,no feed back,Finding out the needs of clients,"7,8,11,13,17",,,,,,,10,10,,,30,,20,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Often issues occur with clients and need to be solved under pressure,"5,11,13,14,17",,,,,10,,,,,,20,,20,10,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communicating various issues/solutions with clients and staff,"1,11,13,15,17",10,,,,,,,,,,30,,10,,20,,30,Ensuring working relationships with clients and staff,"1,2,11,13,17",10,10,,,,,,,,,20,,30,,,,30,,,,,,,,,,,,,,,,,,,,Keep records of events that have happened at various locations,"1,2,3,5,8",20,20,20,,30,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,90,62,,9,10,13,13,What skills are applicable at different jobs,2,3,1,1,1,1
R_53wIvvq9qkhKpdX,6689c0517b434cf8f3558044,Assistant Manager,Cloud Chaserz,"I manage one of our locations. I create, place, and receive all of our inventory orders, make decisions on which products we bring in, handle customer support relations, and manage 1 employee. Our company is a retailer of electronic nicotine replacement devices. These devices are used to quit smoking cigarettes and slowly reduce nicotine intake over time with the end goal of reducing that amount to zero. ",7,10,6,"3,5,8,9,11",,,,,,3,,2,,,1,4,,5,,,,,,,16,,20,,,16,20,,2,,,,,,,13,,0,,,0,0,,26,,,,,,,0,,70,,,65,100,,100,,,,,100,100,98,It was fairly straight forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inventory counts and input,"2,3,5,7,16",,25,10,,10,,40,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,Making decisions on which products to bring in and decisions on how to handle customer relations. Solving problems like inventory being off or customer issues. ,"8,9,11,14,15",,,,,,,,25,10,,10,,,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I use a computer for inventory input, marketing, and ordering. I use a pos and tablet for in store sales. I use for phone for communication between employees and a landline for customer communication
","2,3,6,7,17",,65,10,,,10,10,,,,,,,,,,5,Customer relations,"1,3,8,11,13",50,,10,,,,,20,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,Managing and training new and current employees on tasks,"1,9,10,11,13",25,,,,,,,,10,15,10,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,100,100,It was perfect,99,99,2,99,Work tasks,2,1,1,3,1,1
R_2o0wgTzsBsar6Xb,5c7d99958a346200123436ff,Medicines Management Nurse,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,I am responsible for proving training to all acute nursing and midwifery staff on medicines management. I respond to incidents and help complete audits within the organisation which is an NHS hospital,3,33,6,"1,5,9,11,12",,,,2,,,,4,,,,3,,1,5,,,,5,,,,7,,,,5,,7.5,7,,,,25,,,,25,,,,25,,40,25,,,,60,,,,60,,,,70,,80,60,,,,100,100,100,I found the questionnaire very easy to understand,Looking at an incident and then going to the particular ward / department to gain further background to the incident,"2,8,10,15,17",,10,,,,,,55,,10,,,,,10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I have to make decisions frequently throughout my day, for example deciding which wards to visit as a priority. Giving advice to ward managers and helping them to problem solve","5,7,8,14,17",,,,,40,,10,20,,,,,,10,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A lot of my role involves communicating with others of all grades, job roles and experiences.","2,5,10,15,17",,20,,,10,,,,,10,,,,,10,,50,,,,,,,,,,,,,,,,,,,,I am responsible for training staff all aspects of medicines management,"2,3,4,5,17",,30,5,5,30,,,,,,,,,,,,30,"My role involves auditing and sharing this data. Auditing Controlled Drug compliance, Omitted medicines and self administration of medicines","10,14,15,16,17",,,,,,,,,,10,,,,10,45,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,80,It's very time consuming. Longer than I imagined it would take.,80,80,10,20,Its about thinking how your role could potentially be replaced by a robot as well as considering how to compartmentalise the role.,1,1,1,1,1,1
R_3OqazBayzezWgNJ,669e75c1ecc54547d647f533,Marketing and Sales director,22 Inc,"I work for 22 incorporated, which is a company that provides the service of selling assorted athletic footwear started in South Africa. My role at the company is to market the brand and all the products we sell on social media sites such as instagram, snapchat and Facebook. I am also in charge of contacting potential customers and dealing with the logistics of their purchases and deliveries.",8,10,6,"4,5,6,8,10",,,,,,,4,2,3,,5,,1,,,,,,,,,4,10,6,,7,,15,,,,,,,,,29,65,83,,75,,85,,,,,,,,,14,27,52,,100,,100,,,,,,100,100,80,"I believe that the questionnaire was pretty easy to understand, my only critique would be to include more questions pertaining to sales and the management of clients in the business structure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coming up with new ideas for how to market my products is a necessity in my line of work, seeing as the world is constantly changing and that people's perceptions are so easily shifted as as result of social media it is important to keep up with social trends and to then shape my marketing structure based on these changes.","3,4,8,10,14",,,30,20,,,,15,,15,,,,20,,,,"Well sometimes people will place an order for a specific order and then change their minds about the order upon delivery, the ability to make decisions and solving problems becomes vital because i would then need to find a method to change their minds or find an alternative product that would better suit the customers needs.","1,7,10,13,17",10,,,,,,15,,,30,,,10,,,,35,"when it comes to planning and organising work, my job. requires me to be able to plan days or even weeks ahead, specifically in the area of deliveries. setting up a well planned structure to ensure that people get the products they have ordered on time is crucial.","4,6,7,16,17",,,,50,,20,10,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,i find most of my clients online which means that is is imperative to be proficient with technology and computers. Having a good understanding of how to use technology can positively influence my reach in the digital world thus bringing in more business.,"2,3,5,7,15",,10,20,,45,,20,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,"Well my jobs success is directly dependant on how well i am able to interact with prospective customers and my ability to convince them that they need my product and that they will benefit from investing in my product. If i am unable to relate to a wide group of personalities I would lose the ability to make sales, thus making the social element of my work the pillar on which the business stands.","2,7,10,11,17",,5,,,,,10,,,15,40,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,I believe the questionnaire done a really good job of covering all necessary elements involved in the running of a business.,11,40,5,2,I would have thought it was about understanding the different elements needed to run a successful business.,1,1,1,1,1,1
R_8wFf35APJDY8LbU,5d31dc6e42678e001a0bdedd,Nursery Practitioner ,Nursery (childcare),"'-Plan and carry out engaging activities  
-Build relationships with parents/careers and children
-Carry out observations and assessment 
-Look after the well being of children in my care 
-Carry out daily routines such as snack  and lunch time ",6,10,6,"4,6,9,10,12",,,,,,,3,,2,,,4,1,,5,,,,,,,5,,5,,,5,30,,5,,,,,,,11,,8,,,4,57,,11,,,,,,,94,,90,,,100,99,,87,,,,99,100,98,A very interesting study ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planning and thinking about activities ,"2,3,5,10,14",,20,20,,20,,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,Creating ideas and organising work activities  ,"1,6,8,10,14",20,,,,,20,,20,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some specific activities that relates to Communicating information to others are:
-Emailing about specific information
-Telephone calls to give updates 
-Face to Face feedback and chats to gather and pass on information 
-Written communication in the form of assessments ","2,3,4,16,17",,20,20,20,,,,,,,,,,,,20,20,Being social and creating a good working relationship ,"6,9,10,12,17",,,,,,20,,,20,20,,20,,,,,20,,,,,,,,,,,,,,,,,,,,Doing paperwork such as assessment ,"3,4,5,7,17",,,20,20,20,,20,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,98,,58,79,43,38,Kind of tasks i perform in my job,1,1,1,1,1,1
